B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B1,Dom,B1M2(D),0.07714583333333333,0.019785714285714285,0.012408805031446542,0.0775,0.0,0.03320754716981132,0.09375,0.022976190476190476,0.004025157232704402,0.07875,0.016383928571428574,0.015518867924528302
B2,Dom,B2M1(D),0.09917708333333333,0.01921428571428572,0.006361635220125786,0.05062500000000001,0.007321428571428571,0.03358490566037736,0.14583333333333331,0.009107142857142859,0.002955974842767296,0.14218750000000002,0.009330357142857144,0.003820754716981133
B3,Dom,B3M2(D),0.06975,0.023523809523809523,0.010691823899371069,0.018125,0.0,0.05113207547169812,0.024791666666666663,0.03107142857142857,0.016289308176100633,0.03703125,0.023236607142857146,0.02087264150943396
B4,Dom,B4M1(D),0.067125,0.02685416666666667,0.007965408805031446,0.0,0.02589285714285714,0.02924528301886792,0.054166666666666675,0.033035714285714286,0.005345911949685534,0.07609375,0.02147321428571429,0.010943396226415094
B5,Dom,B5M1(D),0.1046875,0.015148809523809526,0.008993710691823899,0.05375,0.024464285714285713,0.014528301886792454,0.07041666666666667,0.02125,0.012893081761006288,0.089765625,0.018303571428571433,0.01016509433962264
B6,Dom,B6M1(D),0.06507291666666667,0.024419642857142855,0.011157232704402515,0.10500000000000001,0.01785714285714286,0.0060377358490566035,0.14027777777777778,0.0038095238095238095,0.010230607966457023,0.05947916666666666,0.021235119047619048,0.01621069182389937
B7,Dom,B7M2(D),0.06583333333333333,0.030461309523809526,0.0045440251572327044,0.031000000000000007,0.02457142857142857,0.021283018867924528,0.10083333333333336,0.023499999999999997,0.001333333333333333,0.04990625,0.030348214285714287,0.009471698113207546
B8,Dom,B8M1(D),0.08289583333333332,0.024199404761904762,0.006009433962264151,0.0,0.037642857142857145,0.016830188679245288,0.052583333333333336,0.03254761904761905,0.006339622641509435,0.060187500000000005,0.019919642857142855,0.01738679245283019
B9,Dom,B9M1(D),0.056625,0.01761011904761905,0.02090251572327044,0.07725000000000001,0.0045,0.028528301886792454,0.07099999999999998,0.011380952380952382,0.023144654088050318,0.047625,0.020901785714285713,0.020141509433962264
B10,Dom,B10M2(D),0.07354166666666669,0.024136904761904762,0.00889937106918239,0.057499999999999996,0.019428571428571427,0.01871698113207547,0.06233333333333334,0.02990476190476191,0.0061886792452830195,0.10159375000000001,0.017910714285714287,0.007009433962264151
