B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B1,Dom,B1M2(D),4.704434917790739,6.827538465406724,10.033029631597966,5.848763544160789,,11.313788663628799,3.6646592236122246,6.7986197332366505,9.805080982858035,4.222783801714188,5.986076849672872,8.801260466330017
B2,Dom,B2M1(D),4.56660763076876,5.793865320750616,9.51983300958234,3.6077713427520397,4.522717081090406,13.53502525878966,3.175745034969178,3.0732005175759682,7.560110301980441,3.2561742356323657,7.807518925681693,10.38500722511628
B3,Dom,B3M2(D),5.196116295300481,7.28531020479841,11.364782882476659,13.630648991091384,,6.727009965978492,3.936791273424351,6.7172119931283145,11.884807220895485,5.3721264925686985,7.462223563479714,9.32311485195754
B4,Dom,B4M1(D),5.207020548114462,6.495638206950227,11.662288825958905,,5.976934628086607,5.138478241019847,3.3682216067985067,6.449711672904816,19.224032625210565,4.130144071484833,7.577568183297021,9.49547383298729
B5,Dom,B5M1(D),3.2625556888453167,5.895011198186992,9.445045120621012,4.142816142479384,4.323519493572181,12.493632378165467,5.445720190710206,6.4579308418172925,9.823167863608468,4.1667101316766,6.725060327731462,9.653654046453648
B6,Dom,B6M1(D),5.47232775100124,5.737884201524165,10.088745982665689,4.360802036687437,5.585790091307256,34.02529853255168,4.300605382411006,4.755653693274611,7.735327863065906,4.5963425128948625,5.898975984698349,11.706920178622148
B7,Dom,B7M2(D),4.733176555844097,5.467803095823415,12.454397175845417,15.46033073122551,7.628949638917746,14.095035016910845,4.056142835645204,5.224391258660194,17.038630112626116,4.888924025146804,4.481566882345493,13.606966491685204
B8,Dom,B8M1(D),2.9954328732701088,5.96025922554339,9.27795307421815,,5.856159125264597,11.230739319636822,4.043222581533699,5.101486049461276,22.287372477735357,5.07392598645616,4.578068902193495,7.137460891473545
B9,Dom,B9M1(D),5.9756441437714125,6.049173211216017,9.742060388425315,5.116746039518638,4.0789580205676135,13.038478602436054,6.310246876519159,5.4147685492676185,8.647014966068316,7.342413588644638,5.117465089048309,10.080596796907091
B10,Dom,B10M2(D),6.170827639667364,7.996490486099563,10.854647025127848,6.087137677549244,6.977617865406457,15.353083219916645,8.484944829385977,7.819391129988054,17.123583213903224,5.102329986372391,7.900014352232505,14.53396755527352
