B_id,escape_speed_sD,escape_speed_sS,escape_speed_pD,escape_speed_pS
B1,,67.51577503956837,,
B2,60.02440239442666,,58.16498359470086,
B4,,,19.39600898934284,21.54474107763469
B5,,51.36995352830638,,
B6,88.33166585753715,82.48626433381403,83.73913607824196,39.18896430897056
B7,71.52962356478172,,58.20892658561809,141.29822267999322
B8,50.41758548988865,88.2538439542599,,7.65283451750243
B9,67.39229562098957,72.73283889319501,71.05703185091079,57.59948456972175
B10,60.44436535271683,94.96130607798656,46.77316283594852,59.18396911114756
B11,89.4498620151941,59.6285702187086,45.714607602616816,7.769801991087169
B12,,,33.18854742135069,35.866740250680614
B13,62.36433731819071,,42.46806360410159,
B14,103.73788901714374,79.94754204552366,93.17142281991309,
B15,76.40467261095928,83.61435313721037,48.40112839695173,42.261558027457056
B16,85.32965965867679,85.43121024327063,49.35347445841039,35.14893292105477
B17,85.88784640138033,103.00260482433106,,26.95306897300461
B18,51.206334509198975,56.69737487832479,,51.99885065419842
B19,76.24523364513003,42.51236379323139,,83.84360043712151
B20,58.364588242860314,111.90104819132628,69.86714788925912,43.60684545891195
