B_id,in_far_duration_pD,in_other_duration_pD,in_far_duration_pS,in_other_duration_pS
D1,0.0149812734082397,0.0023564294631710355,0.07687265917602996,0.0017166042446941346
D2,0.020224719101123598,0.004525593008739079,0.03469101123595506,0.0033863920099875106
D3,0.030898876404494385,0.003074282147315855,0.020365168539325837,0.01056491885143571
D4,0.0198501872659176,0.005056179775280899,0.05028089887640449,0.011157927590511858
D5,0.1024812734082397,0.005477528089887641,0.022144194756554304,0.0014044943820224717
D6,0.015168539325842698,0.0011548064918851435,0.016666666666666666,0.006507490636704121
D7,0.010252808988764045,0.008458177278401997,0.018258426966292134,0.0010299625468164798
D8,0.03909176029962547,0.002481273408239706,0.04414794007490637,0.0009987515605493131
D9,0.03052434456928839,0.00048377028714107276,0.0599250936329588,0.00014044943820224585
D10,0.0149812734082397,0.002512484394506865,0.014700374531835207,0.00377652933832709
D11,0.035861423220973784,0.0049001248439450645,0.0640449438202247,0.022690387016229715
