B_id,avg_freezing_duration_sD,avg_freezing_duration_sS,avg_freezing_duration_pD,avg_freezing_duration_pS
D1,2.157142857142857,1.511764705882353,1.4647342995169084,1.5189922480620157
D2,0.9490566037735848,1.0444444444444445,1.0999999999999996,0.7694444444444445
D3,1.2141666666666666,1.7027777777777784,0.9466666666666667,1.5392592592592593
D4,1.5974358974358973,1.0237179487179486,1.1661016949152543,0.9792592592592592
D5,1.9237037037037037,1.4028985507246376,1.7255555555555557,1.4983539094650205
D6,1.637837837837838,2.7525,1.2520833333333332,1.215432098765432
D7,1.284920634920635,1.8359788359788363,1.0055555555555555,1.4365079365079367
D8,3.8289473684210527,2.6243589743589744,1.2974358974358973,1.0
D9,1.3173708920187792,1.2932098765432098,1.4270440251572325,1.189795918367347
D10,1.5203703703703701,3.6824561403508773,1.2492063492063494,1.0374149659863945
D11,2.106504065040651,4.043703703703704,1.24375,2.248214285714286
