B_id,_blD,_blS,_plD,_plS
B1,7.999999999999999,3.888888888888889,6.38888888888889,8.333333333333332
B2,3.2,8.755555555555556,8.777777777777777,5.814814814814816
B3,8.88888888888889,6.577777777777778,6.916666666666668,18.38888888888889
B4,5.533333333333334,6.977777777777777,6.152777777777778,6.0740740740740735
B5,6.8888888888888875,2.822222222222222,4.013888888888889,3.851851851851851
B6,5.066666666666666,4.68888888888889,7.722222222222223,4.152777777777779
B7,7.311111111111113,7.866666666666668,9.037037037037036,8.411111111111111
B8,3.7777777777777772,6.511111111111112,9.916666666666666,10.25925925925926
B9,2.0888888888888886,1.488888888888889,14.527777777777779,3.9722222222222223
B10,7.377777777777777,4.022222222222222,4.698412698412698,4.7592592592592595
B11,4.622222222222223,3.888888888888889,0.42222222222222217,6.201388888888889
B12,12.666666666666668,7.533333333333332,1.0694444444444446,6.203703703703703
B13,7.222222222222221,6.4222222222222225,4.083333333333333,19.62037037037037
B14,1.0888888888888888,6.155555555555555,1.027777777777778,9.287037037037036
B15,4.755555555555555,3.6666666666666665,4.111111111111112,4.25
B16,1.1333333333333333,2.355555555555556,3.9555555555555557,5.2666666666666675
B17,4.377777777777777,5.2,7.5740740740740735,3.539682539682539
B18,2.8666666666666667,4.311111111111112,4.564814814814815,4.708333333333334
B19,9.88888888888889,6.377777777777778,3.925925925925926,5.976190476190475
B20,4.0888888888888895,4.822222222222221,4.314814814814814,5.238095238095239
