B_id,_blD,_blS,_plD,_plS
B1,2.8000000000000003,2.0,3.0,3.0
B2,1.2,1.2,1.0,0.6666666666666666
B3,3.5999999999999996,2.4,5.0,2.3333333333333335
B4,3.5999999999999996,3.5999999999999996,3.0,2.3333333333333335
B5,4.0,4.0,3.75,3.3333333333333335
B6,3.2,3.5999999999999996,4.6,3.25
B7,4.4,4.4,5.0,3.8
B8,1.6,2.4,3.75,5.0
B9,2.0,1.2,3.5,2.5
B10,4.4,2.4,2.2857142857142856,3.3333333333333335
B11,2.4,3.2,0.6,2.125
B12,2.0,3.2,1.0,2.8333333333333335
B13,3.2,2.4,2.8333333333333335,3.3333333333333335
B14,0.8,2.0,1.0,1.6666666666666667
B15,1.6,3.2,2.3333333333333335,2.75
B16,1.2,1.6,3.0,1.8
B17,2.0,2.0,3.1666666666666665,2.0
B18,2.0,2.4,3.5,2.25
B19,4.4,4.8,1.6666666666666667,2.142857142857143
B20,2.8000000000000003,2.0,2.3333333333333335,2.0
