B_id,_blD,_blS,_wrD,_wrS
D1,4.247191011235955,3.6404494382022476,1.4157303370786518,2.02247191011236
D2,4.04494382022472,4.04494382022472,4.44943820224719,3.033707865168539
D3,4.04494382022472,5.662921348314607,3.8426966292134837,2.8314606741573036
D4,4.853932584269662,2.02247191011236,2.426966292134831,2.02247191011236
D5,3.235955056179775,5.460674157303371,3.033707865168539,1.4157303370786518
D6,2.6292134831460676,2.224719101123595,2.02247191011236,2.8314606741573036
D7,5.056179775280898,4.04494382022472,3.6404494382022476,3.8426966292134837
D8,5.258426966292135,4.651685393258426,3.235955056179775,4.04494382022472
D9,5.258426966292135,5.662921348314607,3.235955056179775,2.6292134831460676
D10,2.426966292134831,5.056179775280898,2.02247191011236,4.247191011235955
D11,4.44943820224719,4.651685393258426,4.247191011235955,2.02247191011236
