B_id,_blD,_blS,_plD,_plS
B1,54.54545454545455,45.45454545454545,100.0,0.0
B2,25.0,75.0,0.0,100.0
B3,63.63636363636363,36.36363636363637,92.70833333333333,7.291666666666667
B4,50.0,50.0,81.25,18.75
B5,42.857142857142854,57.142857142857146,57.91666666666667,42.083333333333336
B6,42.857142857142854,57.142857142857146,70.66666666666666,29.333333333333336
B7,42.857142857142854,57.142857142857146,56.85185185185185,43.14814814814815
B8,33.333333333333336,66.66666666666667,64.58333333333334,35.41666666666667
B9,66.66666666666667,33.333333333333336,92.5925925925926,7.407407407407407
B10,66.66666666666667,33.333333333333336,79.59183673469387,20.408163265306122
B11,55.55555555555556,44.44444444444444,14.0,66.0
B12,28.571428571428573,71.42857142857143,62.5,37.5
B13,66.66666666666667,33.333333333333336,54.88095238095238,45.11904761904762
B14,16.666666666666668,83.33333333333333,0.0,50.0
B15,36.36363636363637,63.63636363636363,63.333333333333336,3.3333333333333335
B16,42.857142857142854,57.142857142857146,91.11111111111111,8.88888888888889
B17,37.5,62.5,96.66666666666667,3.3333333333333335
B18,28.571428571428573,71.42857142857143,66.07142857142857,33.92857142857142
B19,56.25,43.75,75.0,25.0
B20,50.0,50.0,60.0,6.666666666666667
