B_id,_blD,_blS,_plD,_plS
B1,0.0,9.090909090909092,0.0,0.0
B2,0.0,50.0,0.0,50.0
B3,18.181818181818183,18.181818181818183,0.0,7.291666666666667
B4,14.285714285714286,14.285714285714286,6.25,0.0
B5,7.142857142857143,21.428571428571427,11.25,17.5
B6,7.142857142857143,14.285714285714286,14.0,10.5
B7,21.428571428571427,35.714285714285715,12.037037037037038,10.37037037037037
B8,0.0,11.11111111111111,8.333333333333334,10.416666666666668
B9,16.666666666666668,16.666666666666668,0.0,5.555555555555556
B10,6.666666666666667,6.666666666666667,4.081632653061225,7.142857142857143
B11,44.44444444444444,11.11111111111111,0.0,10.0
B12,14.285714285714286,14.285714285714286,12.5,2.7777777777777777
B13,33.333333333333336,22.22222222222222,11.666666666666666,33.69047619047619
B14,0.0,16.666666666666668,0.0,50.0
B15,9.090909090909092,0.0,10.0,0.0
B16,0.0,0.0,2.2222222222222223,0.0
B17,0.0,25.0,25.555555555555557,0.0
B18,14.285714285714286,42.857142857142854,10.714285714285715,16.26984126984127
B19,31.25,12.5,0.0,8.333333333333334
B20,0.0,20.0,6.666666666666667,6.666666666666667
