B_id,_blD,_blS,_wrD,_wrS
D1,48.275862068965516,51.724137931034484,25.0,75.0
D2,47.05882352941177,52.94117647058823,60.714285714285715,39.285714285714285
D3,32.432432432432435,67.56756756756756,64.28571428571429,35.714285714285715
D4,68.96551724137932,31.03448275862069,50.0,50.0
D5,35.294117647058826,64.70588235294117,81.25,18.75
D6,55.0,45.0,26.31578947368421,73.6842105263158
D7,52.77777777777778,47.22222222222222,58.62068965517241,41.37931034482759
D8,55.26315789473684,44.73684210526316,44.0,56.0
D9,45.23809523809524,54.76190476190476,47.82608695652174,52.17391304347826
D10,24.137931034482758,75.86206896551724,37.03703703703704,62.96296296296296
D11,50.0,50.0,75.0,25.0
