variable,total_sum
E_to_nest_wp_self_approach_partner_pS,1.0
E_to_nest_wp_self_sniff_partner_pD,2.0
E_to_nest_wp_self_sniff_partner_pS,3.0
E_to_nest_wp_self_no_social_pD,4.0
E_to_nest_wp_self_no_social_pS,3.0
E_to_nest_wp_partner_approach_partner_pD,2.0
E_to_nest_wp_partner_sniff_partner_pD,2.0
E_to_nest_wp_partner_sniff_partner_pS,2.0
E_to_nest_wp_partner_no_social_pD,2.0
E_to_nest_wp_partner_no_social_pS,5.0
E_to_nest_wo_self_approach_partner_pD,3.0
E_to_nest_wo_self_approach_partner_pS,1.0
E_to_nest_wo_self_sniff_partner_pD,6.0
E_to_nest_wo_self_sniff_partner_pS,8.0
E_to_nest_wo_self_no_social_pD,13.0
E_to_nest_wo_self_no_social_pS,23.0
E_to_nest_wo_partner_approach_partner_pS,3.0
E_to_nest_wo_partner_sniff_partner_pD,1.0
E_to_nest_wo_partner_no_social_pD,21.0
E_to_nest_wo_partner_no_social_pS,29.0
