variable,total_sum
wp_self_approach_partner_pD,8.0
wp_self_approach_partner_pS,4.0
wp_self_sniff_partner_pD,22.0
wp_self_sniff_partner_pS,3.0
wp_self_huddling_pD,13.0
wp_self_huddling_pS,3.0
wp_self_no_social_pD,4.0
wp_self_no_social_pS,7.0
wp_partner_approach_partner_pS,1.0
wp_partner_sniff_partner_pD,12.0
wp_partner_sniff_partner_pS,4.0
wp_partner_huddling_pD,6.0
wp_partner_no_social_pD,29.0
wp_partner_no_social_pS,12.0
wo_self_approach_partner_pD,12.0
wo_self_approach_partner_pS,5.0
wo_self_sniff_partner_pD,12.0
wo_self_sniff_partner_pS,5.0
wo_self_huddling_pD,4.0
wo_self_huddling_pS,7.0
wo_self_no_social_pD,49.0
wo_self_no_social_pS,42.0
wo_partner_approach_partner_pD,8.0
wo_partner_approach_partner_pS,12.0
wo_partner_sniff_partner_pD,8.0
wo_partner_sniff_partner_pS,2.0
wo_partner_huddling_pD,2.0
wo_partner_huddling_pS,1.0
wo_partner_no_social_pD,59.0
wo_partner_no_social_pS,44.0
