behavior,rank,count,object,total_time_sec
approach,D,160,self,10.033333333333333
approach,S,120,self,6.1
sniff,D,160,self,34.766666666666666
sniff,S,120,self,12.833333333333334
follow,D,160,self,0.0
follow,S,120,self,0.0
groom,D,160,self,0.0
groom,S,120,self,0.0
huddling,D,160,self,74.36666666666666
huddling,S,120,self,38.13333333333333
approach,D,160,partner,4.933333333333334
approach,S,120,partner,10.466666666666667
sniff,D,160,partner,19.233333333333334
sniff,S,120,partner,21.433333333333334
follow,D,160,partner,0.0
follow,S,120,partner,0.0
groom,D,160,partner,0.0
groom,S,120,partner,1.0666666666666667
huddling,D,160,partner,25.233333333333334
huddling,S,120,partner,7.2
