near_width_cm,near_pct,middle_pct,nm_trans_bouts
0,0.0,21.353222387112105,0.0
1,0.18146067415730335,21.171761712954805,0.15
2,0.2797752808988764,21.073447106213234,0.3
3,0.6382022471910112,20.715020139921098,2.25
4,1.8230337078651686,19.53018867924694,5.4
5,3.7685393258426965,17.584683061269413,7.25
6,5.064573285947241,16.288649101164868,11.1
7,6.237028698434675,15.116193688677436,13.2
8,7.096329845369256,14.256892541742857,13.8
9,8.1772652870612,13.175957100050912,14.6
10,9.254796464813392,12.098425922298718,14.05
11,10.43548227780202,10.917740109310088,14.3
12,11.547491540660905,9.805730846451203,14.4
13,12.67550524056535,8.67771714654676,15.0
14,13.898219689814173,7.455002697297941,13.9
15,14.887564240842604,6.465658146269507,12.1
16,16.029715591725306,5.323506795386804,10.1
17,18.450970727108494,2.902251660003616,6.5
18,21.353222387112105,0.0,0.0
