B_id,avg_ad_duration_sD,avg_ad_duration_sS,avg_ad_duration_pD,avg_ad_duration_pS
D1,49.43333333333333,24.695833333333333,32.644444444444446,42.44000000000001
D2,15.57719298245614,15.96888888888889,16.284313725490193,12.30151515151515
D3,14.633333333333335,29.145833333333336,15.163157894736843,23.151851851851852
D4,32.63333333333333,76.67777777777779,18.67179487179487,28.680952380952384
D5,28.055555555555557,27.586666666666666,39.77333333333333,60.0
D6,20.26666666666667,22.26,39.294444444444444,17.18181818181818
D7,20.26666666666667,14.633333333333335,10.330555555555556,34.211111111111116
D8,56.35,20.507407407407406,13.057142857142859,24.70740740740741
D9,66.68888888888888,20.046666666666667,46.400000000000006,18.005555555555556
D10,23.6,23.7,9.325641025641026,18.392307692307693
D11,21.33,72.2,18.1,81.55
