B_id,_blD,_blS,_wrD,_wrS
D1,0.43333333333333335,,0.5333333333333333,2.183333333333333
D2,,0.3333333333333333,0.5666666666666667,5.5
D3,0.26666666666666666,3.2,2.1722222222222225,6.822222222222223
D4,,,3.1916666666666664,6.528571428571429
D5,,1.0666666666666667,2.8766666666666665,3.3333333333333335
D6,,,0.7333333333333334,1.2733333333333334
D7,,,1.36,1.0333333333333332
D8,0.4666666666666667,0.43333333333333335,1.7033333333333331,0.6944444444444443
D9,,,2.6,8.186666666666667
D10,,,1.2,1.0333333333333334
D11,,,0.6722222222222222,14.34
