B_id,_blD,_blS,_wrD,_wrS
D1,1.3333333333333333,0.0,10.9,7.76111111111111
D2,0.0,1.6,0.7666666666666667,5.416666666666666
D3,1.1666666666666667,0.7333333333333333,1.4833333333333334,7.122222222222223
D4,0.0,0.0,2.491666666666667,6.857142857142856
D5,0.0,2.1,7.360000000000001,3.4583333333333335
D6,0.0,0.0,2.8166666666666664,2.9166666666666665
D7,0.0,0.0,1.846666666666667,1.5416666666666665
D8,0.6333333333333333,1.0666666666666667,2.3600000000000003,3.125
D9,0.0,0.0,3.591666666666667,7.286666666666667
D10,0.0,0.0,1.95,3.3
D11,0.0,0.0,4.2555555555555555,17.386666666666667
