B_id,total_sniffing_duration_bl_sD,total_sniffing_duration_bl_sS,total_sniffing_duration_bl_pD,total_sniffing_duration_bl_pS,total_sniffing_duration_wr_sD,total_sniffing_duration_wr_sS,total_sniffing_duration_wr_pD,total_sniffing_duration_wr_pS
D1,42.63333333333333,70.06666666666665,25.966666666666665,37.8,11.333333333333334,7.366666666666666,4.633333333333333,5.966666666666667
D2,62.93333333333332,63.566666666666706,38.933333333333316,40.50000000000001,8.166666666666666,13.500000000000002,12.166666666666668,9.833333333333332
D3,86.70000000000002,74.3,31.400000000000006,32.40000000000001,21.200000000000003,9.5,20.133333333333336,10.766666666666667
D4,65.33333333333333,38.5,53.93333333333332,49.56666666666666,18.566666666666666,4.966666666666667,14.366666666666662,8.133333333333333
D5,54.2,58.633333333333354,39.2,35.333333333333336,20.633333333333333,7.566666666666667,4.7,4.933333333333334
D6,72.26666666666667,37.23333333333334,32.06666666666666,20.566666666666674,11.799999999999999,12.633333333333333,9.533333333333333,6.566666666666666
D7,59.366666666666674,84.16666666666667,38.23333333333334,52.79999999999999,13.100000000000003,6.533333333333333,9.5,4.933333333333333
D8,37.233333333333334,70.3,38.433333333333344,56.53333333333334,14.533333333333331,5.466666666666666,14.833333333333334,13.999999999999998
D9,88.06666666666662,88.73333333333335,39.966666666666676,30.3,16.06666666666667,14.4,21.100000000000005,12.133333333333331
D10,80.86666666666667,83.83333333333337,60.56666666666667,69.23333333333332,18.433333333333334,12.466666666666667,16.066666666666666,12.000000000000002
D11,83.2,68.89999999999998,47.23333333333332,25.533333333333335,13.299999999999999,5.199999999999999,7.7333333333333325,5.366666666666666
