B_id,sniffing_frequency_bl_sD,sniffing_frequency_bl_sS,sniffing_frequency_bl_pD,sniffing_frequency_bl_pS,sniffing_frequency_wr_sD,sniffing_frequency_wr_sS,sniffing_frequency_wr_pD,sniffing_frequency_wr_pS
D1,13.8,18.2,8.4,14.6,3.8,1.6,1.4,1.6
D2,23.0,20.2,15.2,13.0,3.4,4.0,5.0,1.8
D3,14.4,18.4,11.2,9.6,5.4,3.4,4.0,2.8
D4,14.4,10.0,16.2,12.8,3.6,1.8,5.2,3.0
D5,10.2,16.4,15.4,11.8,5.0,3.2,1.8,1.8
D6,10.6,9.2,6.4,5.0,2.6,4.2,2.4,1.8
D7,18.2,18.6,11.0,13.6,4.2,3.0,2.4,2.0
D8,16.0,16.2,12.2,16.4,2.8,1.2,4.2,3.8
D9,23.2,25.0,12.0,10.0,4.2,4.4,4.4,3.2
D10,19.8,20.2,19.0,24.0,5.2,3.8,5.4,5.0
D11,18.6,12.8,11.2,8.0,4.4,1.2,2.4,2.0
