B_id,sniffing_frequency_bl_sD,sniffing_frequency_bl_sS,sniffing_frequency_bl_pD,sniffing_frequency_bl_pS,sniffing_frequency_wr_sD,sniffing_frequency_wr_sS,sniffing_frequency_wr_pD,sniffing_frequency_wr_pS
B1,7.2,5.2,12.0,12.0,12.0,12.0,14.0,15.0
B2,5.6,11.6,1.2,16.4,9.5,18.0,4.0,10.666666666666666
B3,11.6,9.6,18.8,19.2,17.0,14.0,16.0,11.333333333333334
B4,12.4,6.8,22.8,19.2,14.0,12.5,16.25,11.0
B5,4.4,12.0,6.4,13.2,13.5,9.0,13.0,15.666666666666666
B6,10.8,10.4,14.8,6.4,16.0,14.0,15.2,17.25
B7,13.6,12.8,20.0,15.6,14.0,17.5,13.666666666666666,11.6
B8,8.4,8.8,16.4,16.0,16.2,12.0,16.0,16.333333333333332
B9,13.2,8.8,13.6,8.8,9.8,6.2,3.8333333333333335,8.0
B10,8.8,11.2,6.8,9.6,5.2,4.4,4.571428571428571,2.6666666666666665
B11,11.2,7.2,7.2,9.6,4.2,6.2,11.4,7.625
B12,4.8,8.0,4.0,6.4,5.6,10.5,7.0,5.0
B13,5.6,6.0,6.4,6.8,9.0,9.8,5.166666666666667,5.0
B14,8.8,7.6,4.0,6.0,6.2,9.75,2.0,8.833333333333334
B15,10.8,8.0,13.6,5.6,5.3,6.25,9.5,5.25
B16,9.2,13.2,10.8,7.6,10.714285714285714,10.571428571428571,12.2,8.6
B17,10.4,10.0,6.0,8.0,8.6,6.111111111111111,7.333333333333333,7.714285714285714
B18,6.4,8.4,8.4,8.0,4.5,11.375,6.833333333333333,7.0
B19,10.0,10.0,11.2,7.2,9.0,8.5,10.333333333333334,7.428571428571429
B20,10.4,6.4,6.0,4.8,6.0,2.4,4.666666666666667,3.857142857142857
