group,trial_id,timepoint,freezing_before,freezing_after,difference
real,B15MDT1,1367.0,1.0,0.1,0.9
real,B17MDT4,1864.0,1.0,0.23333333333333334,0.7666666666666666
real,B10MST4,781.0,1.0,0.03333333333333333,0.9666666666666667
real,B14MST2,597.0,0.9666666666666667,0.0,0.9666666666666667
random,B12MDT6,1515.0,1.0,1.0,0.0
random,B13MST7,802.0,0.6,1.0,-0.4
random,B11MST3,530.0,0.03333333333333333,1.0,-0.9666666666666667
random,B17MDT4,1566.0,1.0,0.6,0.4
random,B12MDT6,941.0,1.0,0.03333333333333333,0.9666666666666667
random,B12MDT6,1376.0,1.0,1.0,0.0
random,B10MST4,1834.0,1.0,0.8666666666666667,0.1333333333333333
random,B17MDT3,763.0,1.0,1.0,0.0
random,B5MST1,562.0,0.9666666666666667,0.2,0.7666666666666666
random,B6MDT3,645.0,0.23333333333333334,1.0,-0.7666666666666666
random,B12MDT6,1196.0,1.0,1.0,0.0
random,B15MDT1,1100.0,1.0,1.0,0.0
random,B10MST4,1698.0,1.0,0.5,0.5
random,B14MST2,525.0,1.0,1.0,0.0
random,B6MDT5,865.0,0.9666666666666667,0.1,0.8666666666666667
random,B12MDT6,1084.0,1.0,1.0,0.0
random,B4MDT5,770.0,0.3,0.7,-0.39999999999999997
random,B10MST4,613.0,0.03333333333333333,1.0,-0.9666666666666667
random,B15MDT1,1073.0,1.0,1.0,0.0
random,B13MST7,731.0,0.6333333333333333,1.0,-0.3666666666666667
random,B7MDT4,741.0,0.23333333333333334,1.0,-0.7666666666666666
random,B11MST4,491.0,0.5,0.5,0.0
random,B4MDT5,1692.0,1.0,1.0,0.0
random,B4MDT5,1731.0,1.0,1.0,0.0
random,B17MDT3,775.0,1.0,1.0,0.0
random,B6MDT4,923.0,1.0,0.16666666666666666,0.8333333333333334
random,B15MDT1,659.0,1.0,1.0,0.0
random,B14MST2,392.0,0.6,1.0,-0.4
random,B11MST3,377.0,0.4,0.9666666666666667,-0.5666666666666667
random,B13MST7,825.0,1.0,1.0,0.0
random,B10MST4,333.0,0.36666666666666664,0.3333333333333333,0.033333333333333326
random,B11MST4,1122.0,0.3333333333333333,0.9666666666666667,-0.6333333333333333
random,B15MDT1,945.0,1.0,1.0,0.0
random,B12MDT6,1146.0,1.0,0.8,0.19999999999999996
random,B15MDT1,1023.0,1.0,1.0,0.0
random,B10MST4,1895.0,0.9666666666666667,0.0,0.9666666666666667
random,B15MDT1,900.0,1.0,1.0,0.0
random,B12MDT6,1120.0,1.0,0.9666666666666667,0.033333333333333326
random,B8MST2,403.0,1.0,0.1,0.9
random,B15MDT1,897.0,1.0,1.0,0.0
random,B15MDT1,1143.0,1.0,1.0,0.0
random,B17MDT4,1533.0,0.43333333333333335,1.0,-0.5666666666666667
random,B17MDT4,1148.0,1.0,0.5666666666666667,0.43333333333333335
random,B12MDT6,801.0,0.6333333333333333,1.0,-0.3666666666666667
random,B6MST5,481.0,1.0,0.03333333333333333,0.9666666666666667
