group,trial_id,timepoint,freezing_before,freezing_after,difference
real,B15MDT1,1368.0,1.0,0.06666666666666667,0.9333333333333333
real,B17MDT4,1865.0,1.0,0.2,0.8
real,B17MDT6,1157.0,0.36666666666666664,0.03333333333333333,0.3333333333333333
real,B10MST4,782.0,1.0,0.0,1.0
real,B20MST6,348.0,0.9666666666666667,0.8333333333333334,0.1333333333333333
real,B2MST3,619.0,0.43333333333333335,0.06666666666666667,0.3666666666666667
real,B7MST2,338.0,0.8333333333333334,0.03333333333333333,0.8
random,B17MST3,1759.0,0.9,0.9666666666666667,-0.06666666666666665
random,B8MDT2,1594.0,0.6333333333333333,1.0,-0.3666666666666667
random,B8MST1,766.0,1.0,0.5,0.5
random,B6MDT2,630.0,0.4,1.0,-0.6
random,B3MST1,774.0,0.03333333333333333,0.7333333333333333,-0.7
random,B12MDT2,900.0,0.6,0.8666666666666667,-0.2666666666666667
random,B6MDT5,864.0,0.9333333333333333,0.13333333333333333,0.8
random,B2MDT3,1029.0,1.0,0.4,0.6
random,B13MST7,718.0,0.2,1.0,-0.8
random,B15MDT1,617.0,0.16666666666666666,1.0,-0.8333333333333334
random,B7MST2,422.0,0.5333333333333333,1.0,-0.4666666666666667
random,B12MDT6,1183.0,0.9333333333333333,1.0,-0.06666666666666665
random,B17MDT4,1254.0,1.0,1.0,0.0
random,B6MDT3,824.0,1.0,1.0,0.0
random,B8MST1,1202.0,0.13333333333333333,0.6666666666666666,-0.5333333333333333
random,B6MDT4,874.0,0.7333333333333333,1.0,-0.2666666666666667
random,B12MDT6,1426.0,1.0,0.16666666666666666,0.8333333333333334
random,B15MDT1,1312.0,1.0,1.0,0.0
random,B12MDT6,1089.0,1.0,1.0,0.0
random,B12MDT6,1370.0,0.9666666666666667,1.0,-0.033333333333333326
random,B17MDT4,1211.0,0.8333333333333334,1.0,-0.16666666666666663
random,B9MST2,656.0,0.4666666666666667,0.23333333333333334,0.23333333333333334
random,B18MST6,815.0,0.5333333333333333,0.0,0.5333333333333333
random,B4MDT5,989.0,0.23333333333333334,1.0,-0.7666666666666666
random,B13MST7,679.0,0.3333333333333333,0.23333333333333334,0.09999999999999998
random,B4MDT5,1028.0,1.0,0.8333333333333334,0.16666666666666663
random,B15MDT1,754.0,1.0,1.0,0.0
random,B10MST4,1707.0,1.0,0.2,0.8
random,B12MDT6,1422.0,1.0,0.3,0.7
random,B20MST6,887.0,0.13333333333333333,0.26666666666666666,-0.13333333333333333
random,B14MST2,1393.0,0.26666666666666666,1.0,-0.7333333333333334
random,B10MST4,744.0,0.5,1.0,-0.5
random,B4MDT5,775.0,0.4666666666666667,0.5333333333333333,-0.06666666666666665
random,B17MST6,1324.0,1.0,0.3,0.7
random,B7MST2,1228.0,1.0,1.0,0.0
random,B5MST1,555.0,0.7333333333333333,0.43333333333333335,0.29999999999999993
random,B11MST3,1562.0,0.03333333333333333,1.0,-0.9666666666666667
