group,trial_id,timepoint,freezing_before,freezing_after,difference
real,D1MD,452.0,1.0,0.13333333333333333,0.8666666666666667
real,D1MD,663.0,1.0,0.06666666666666667,0.9333333333333333
real,D1MD,745.0,0.5333333333333333,0.9,-0.3666666666666667
real,D1MD,857.0,1.0,0.3,0.7
real,D1MD,973.0,1.0,0.0,1.0
real,D1MD,1138.0,1.0,0.6,0.4
real,D1MD,1500.0,1.0,0.3333333333333333,0.6666666666666667
real,D1MD,1546.0,0.6,1.0,-0.4
real,D1MD,1730.0,1.0,0.03333333333333333,0.9666666666666667
real,D1MD,1921.0,0.3,0.26666666666666666,0.033333333333333326
real,D1MD,2026.0,1.0,0.2,0.8
real,D1MD,2098.0,0.2,1.0,-0.8
real,D1MD,2378.0,0.9666666666666667,0.0,0.9666666666666667
real,D1MD,2466.0,0.1,0.9333333333333333,-0.8333333333333334
real,D1MD,3122.0,0.36666666666666664,1.0,-0.6333333333333333
real,D1MD,3224.0,0.7333333333333333,0.5,0.23333333333333328
real,D1MD,3283.0,0.4,0.5,-0.09999999999999998
real,D1MD,3378.0,1.0,0.8333333333333334,0.16666666666666663
real,D1MD,5528.0,0.26666666666666666,0.8,-0.5333333333333334
real,D1MD,5915.0,1.0,0.8666666666666667,0.1333333333333333
real,D1MD,6147.0,0.9666666666666667,1.0,-0.033333333333333326
real,D1MD,6342.0,1.0,0.6666666666666666,0.33333333333333337
real,D1MD,7159.0,0.3,1.0,-0.7
real,D1MD,7475.0,0.7666666666666667,0.6333333333333333,0.13333333333333341
real,D1MD,7545.0,0.4666666666666667,1.0,-0.5333333333333333
real,D1MD,7807.0,1.0,0.03333333333333333,0.9666666666666667
real,D1MD,8215.0,0.6333333333333333,0.6666666666666666,-0.033333333333333326
real,D3MD,638.0,0.13333333333333333,0.7333333333333333,-0.6
real,D3MD,1339.0,1.0,1.0,0.0
real,D3MD,2184.0,1.0,1.0,0.0
real,D3MD,2413.0,1.0,1.0,0.0
real,D3MD,2635.0,0.9666666666666667,0.26666666666666666,0.7
real,D3MD,2760.0,1.0,0.7333333333333333,0.2666666666666667
real,D3MD,3373.0,1.0,0.7,0.30000000000000004
real,D3MD,3850.0,0.7,0.8,-0.10000000000000009
real,D3MD,4002.0,1.0,0.03333333333333333,0.9666666666666667
real,D3MD,4051.0,0.26666666666666666,0.6333333333333333,-0.36666666666666664
real,D3MD,4266.0,0.8666666666666667,1.0,-0.1333333333333333
real,D3MD,4641.0,0.13333333333333333,0.6666666666666666,-0.5333333333333333
real,D3MD,4671.0,0.6666666666666666,0.6,0.06666666666666665
real,D3MD,5422.0,1.0,0.0,1.0
real,D3MD,5582.0,1.0,0.5,0.5
real,D3MD,8762.0,1.0,0.4,0.6
real,D2MD,407.0,0.5666666666666667,1.0,-0.43333333333333335
real,D2MD,593.0,0.2,0.8,-0.6000000000000001
real,D2MD,1093.0,0.7333333333333333,0.5333333333333333,0.19999999999999996
real,D2MD,1897.0,1.0,0.06666666666666667,0.9333333333333333
real,D2MD,3562.0,0.6666666666666666,0.8,-0.13333333333333341
real,D2MD,4841.0,0.36666666666666664,0.16666666666666666,0.19999999999999998
real,D4MD,247.0,0.6666666666666666,1.0,-0.33333333333333337
real,D4MD,315.0,0.4666666666666667,0.13333333333333333,0.33333333333333337
real,D4MD,365.0,0.8,0.26666666666666666,0.5333333333333334
real,D4MD,1384.0,0.4666666666666667,0.4,0.06666666666666665
real,D4MD,1511.0,0.3333333333333333,0.23333333333333334,0.09999999999999998
real,D4MD,3683.0,0.5666666666666667,0.8,-0.2333333333333334
real,D4MD,6206.0,0.43333333333333335,0.36666666666666664,0.06666666666666671
real,D4MD,7081.0,1.0,0.7666666666666667,0.23333333333333328
real,D4MD,7132.0,0.4,0.8333333333333334,-0.43333333333333335
real,D4MD,7319.0,0.7,0.9333333333333333,-0.2333333333333334
real,D4MD,7438.0,0.23333333333333334,1.0,-0.7666666666666666
real,D4MD,7499.0,0.13333333333333333,0.7666666666666667,-0.6333333333333334
real,D4MD,7539.0,0.7333333333333333,1.0,-0.2666666666666667
real,D4MD,7805.0,0.7,1.0,-0.30000000000000004
real,D4MD,8019.0,1.0,0.6,0.4
real,D5MD,206.0,1.0,0.03333333333333333,0.9666666666666667
real,D5MD,1440.0,1.0,0.2,0.8
real,D5MD,1894.0,1.0,1.0,0.0
real,D5MD,2001.0,0.3333333333333333,0.9666666666666667,-0.6333333333333333
real,D5MD,2083.0,1.0,1.0,0.0
real,D5MD,2144.0,1.0,0.2,0.8
real,D5MD,2274.0,1.0,0.26666666666666666,0.7333333333333334
real,D5MD,6577.0,1.0,0.1,0.9
real,D5MD,8575.0,1.0,0.5,0.5
real,D6MD,172.0,1.0,1.0,0.0
real,D6MD,508.0,1.0,1.0,0.0
real,D6MD,694.0,1.0,1.0,0.0
real,D6MD,742.0,1.0,1.0,0.0
real,D6MD,804.0,1.0,1.0,0.0
real,D6MD,1029.0,1.0,1.0,0.0
real,D6MD,1118.0,1.0,1.0,0.0
real,D6MD,1208.0,1.0,1.0,0.0
real,D6MD,1272.0,1.0,1.0,0.0
real,D6MD,1335.0,1.0,1.0,0.0
real,D6MD,1397.0,1.0,1.0,0.0
real,D6MD,1449.0,1.0,0.6,0.4
real,D6MD,1540.0,0.5666666666666667,1.0,-0.43333333333333335
real,D6MD,1986.0,1.0,0.03333333333333333,0.9666666666666667
real,D6MD,2098.0,0.5333333333333333,0.7666666666666667,-0.2333333333333334
real,D6MD,2180.0,0.43333333333333335,1.0,-0.5666666666666667
real,D6MD,2285.0,0.7333333333333333,0.4666666666666667,0.2666666666666666
real,D6MD,2578.0,1.0,0.26666666666666666,0.7333333333333334
real,D6MD,4095.0,1.0,0.23333333333333334,0.7666666666666666
real,D7MD,35.0,1.0,0.7333333333333333,0.2666666666666667
real,D7MD,62.0,0.7333333333333333,0.4666666666666667,0.2666666666666666
real,D7MD,448.0,0.2,1.0,-0.8
real,D7MD,515.0,1.0,1.0,0.0
real,D7MD,687.0,0.43333333333333335,0.3333333333333333,0.10000000000000003
real,D7MD,1103.0,1.0,0.1,0.9
real,D7MD,1302.0,0.6333333333333333,1.0,-0.3666666666666667
real,D7MD,1432.0,0.5666666666666667,1.0,-0.43333333333333335
real,D7MD,1515.0,0.9,1.0,-0.09999999999999998
real,D7MD,1794.0,0.7333333333333333,0.43333333333333335,0.29999999999999993
real,D7MD,2386.0,0.36666666666666664,1.0,-0.6333333333333333
real,D7MD,2464.0,0.6,0.5333333333333333,0.06666666666666665
real,D7MD,2646.0,0.6333333333333333,1.0,-0.3666666666666667
real,D7MD,2728.0,1.0,0.1,0.9
real,D7MD,3046.0,1.0,0.16666666666666666,0.8333333333333334
real,D7MD,3183.0,0.3333333333333333,1.0,-0.6666666666666667
real,D7MD,3260.0,1.0,1.0,0.0
real,D7MD,3460.0,1.0,0.3333333333333333,0.6666666666666667
real,D7MD,5810.0,1.0,1.0,0.0
real,D7MD,7292.0,1.0,1.0,0.0
real,D7MD,7902.0,0.8666666666666667,1.0,-0.1333333333333333
real,D9MD,165.0,0.4666666666666667,0.6333333333333333,-0.16666666666666663
real,D9MD,679.0,0.4,0.6,-0.19999999999999996
real,D9MD,1462.0,0.3,1.0,-0.7
real,D9MD,1538.0,0.7666666666666667,0.6,0.16666666666666674
real,D9MD,3003.0,0.43333333333333335,0.4,0.033333333333333326
real,D9MD,6980.0,0.6,0.06666666666666667,0.5333333333333333
real,D9MD,7676.0,1.0,1.0,0.0
real,D9MD,7718.0,1.0,1.0,0.0
real,D9MD,7750.0,1.0,0.43333333333333335,0.5666666666666667
real,D9MD,8059.0,0.7,1.0,-0.30000000000000004
real,D9MD,8621.0,1.0,0.23333333333333334,0.7666666666666666
real,D9MD,8744.0,0.5333333333333333,0.9333333333333333,-0.4
real,D9MD,8880.0,1.0,0.7,0.30000000000000004
real,D11MD,564.0,1.0,1.0,0.0
real,D11MD,718.0,1.0,1.0,0.0
real,D11MD,769.0,1.0,1.0,0.0
real,D11MD,861.0,1.0,1.0,0.0
real,D11MD,941.0,1.0,1.0,0.0
real,D11MD,992.0,1.0,1.0,0.0
real,D11MD,1159.0,1.0,1.0,0.0
real,D11MD,1250.0,1.0,1.0,0.0
real,D11MD,1550.0,1.0,1.0,0.0
real,D11MD,2022.0,0.9666666666666667,1.0,-0.033333333333333326
real,D11MD,2243.0,0.9,1.0,-0.09999999999999998
real,D11MD,2404.0,1.0,1.0,0.0
real,D11MD,2494.0,1.0,1.0,0.0
real,D11MD,2552.0,1.0,1.0,0.0
real,D11MD,3211.0,1.0,1.0,0.0
real,D11MD,3260.0,1.0,1.0,0.0
real,D11MD,4190.0,0.23333333333333334,1.0,-0.7666666666666666
real,D11MD,4299.0,1.0,1.0,0.0
real,D11MD,4675.0,0.5333333333333333,1.0,-0.4666666666666667
real,D11MD,5624.0,1.0,0.8333333333333334,0.16666666666666663
real,D11MD,7453.0,1.0,1.0,0.0
real,D11MD,7605.0,1.0,1.0,0.0
real,D11MD,7863.0,0.16666666666666666,1.0,-0.8333333333333334
real,D8MD,193.0,1.0,0.8333333333333334,0.16666666666666663
real,D8MD,564.0,1.0,1.0,0.0
real,D8MD,1516.0,1.0,0.9,0.09999999999999998
real,D8MD,1570.0,0.2,1.0,-0.8
real,D8MD,1845.0,0.06666666666666667,1.0,-0.9333333333333333
real,D8MD,1896.0,1.0,0.43333333333333335,0.5666666666666667
real,D8MD,5337.0,1.0,1.0,0.0
real,D8MD,6334.0,1.0,1.0,0.0
real,D8MD,8528.0,1.0,0.3,0.7
real,D10MD,111.0,1.0,1.0,0.0
real,D10MD,226.0,0.5666666666666667,1.0,-0.43333333333333335
real,D10MD,346.0,0.16666666666666666,1.0,-0.8333333333333334
real,D10MD,883.0,1.0,0.4666666666666667,0.5333333333333333
real,D10MD,965.0,1.0,1.0,0.0
real,D10MD,1155.0,0.13333333333333333,0.4666666666666667,-0.33333333333333337
real,D10MD,1314.0,1.0,1.0,0.0
real,D10MD,1388.0,1.0,1.0,0.0
real,D10MD,2842.0,1.0,1.0,0.0
real,D10MD,7891.0,0.43333333333333335,0.5333333333333333,-0.09999999999999998
real,D1MS,74.0,1.0,0.5333333333333333,0.4666666666666667
real,D1MS,336.0,1.0,0.7,0.30000000000000004
real,D1MS,595.0,1.0,1.0,0.0
real,D1MS,663.0,1.0,0.5,0.5
real,D1MS,723.0,1.0,0.7333333333333333,0.2666666666666667
real,D1MS,772.0,0.16666666666666666,1.0,-0.8333333333333334
real,D1MS,973.0,0.9333333333333333,0.7666666666666667,0.16666666666666663
