group,trial_id,timepoint,freezing_before,freezing_after,difference
real,D9MD,182.0,1.0,0.7666666666666667,0.23333333333333328
real,D9MD,6664.0,0.5,0.6,-0.09999999999999998
real,D9MD,6926.0,0.5333333333333333,0.43333333333333335,0.09999999999999998
real,D11MD,1278.0,1.0,0.6666666666666666,0.33333333333333337
real,D11MD,1384.0,0.43333333333333335,0.8666666666666667,-0.43333333333333335
real,D11MD,1641.0,1.0,1.0,0.0
real,D11MD,2409.0,0.26666666666666666,1.0,-0.7333333333333334
real,D11MD,4853.0,0.9666666666666667,0.0,0.9666666666666667
real,D11MD,5130.0,0.9666666666666667,0.0,0.9666666666666667
real,D1MD,3774.0,1.0,0.43333333333333335,0.5666666666666667
real,D1MD,8825.0,0.7,0.9,-0.20000000000000007
real,D3MD,3214.0,1.0,0.0,1.0
real,D4MD,1683.0,0.6333333333333333,0.0,0.6333333333333333
real,D5MD,1014.0,0.5333333333333333,0.6666666666666666,-0.1333333333333333
real,D5MD,1145.0,0.5666666666666667,0.23333333333333334,0.3333333333333333
real,D6MD,666.0,0.2,0.43333333333333335,-0.23333333333333334
real,D6MD,812.0,1.0,0.1,0.9
real,D6MD,2458.0,0.5,0.0,0.5
real,D7MD,620.0,1.0,0.1,0.9
real,D7MD,3604.0,0.9666666666666667,0.0,0.9666666666666667
real,D7MD,4022.0,0.9333333333333333,0.0,0.9333333333333333
real,D2MD,6199.0,0.5666666666666667,0.23333333333333334,0.3333333333333333
real,D9MS,2675.0,1.0,0.5,0.5
real,D9MS,2707.0,0.5,0.7333333333333333,-0.23333333333333328
real,D10MS,1153.0,1.0,0.43333333333333335,0.5666666666666667
real,D1MS,2589.0,1.0,0.23333333333333334,0.7666666666666666
real,D1MS,3919.0,0.36666666666666664,0.26666666666666666,0.09999999999999998
real,D1MS,7599.0,0.7,0.2,0.49999999999999994
real,D3MS,6054.0,0.43333333333333335,0.06666666666666667,0.3666666666666667
real,D4MS,4937.0,0.3,0.3333333333333333,-0.033333333333333326
real,D5MS,3022.0,1.0,0.06666666666666667,0.9333333333333333
real,D7MS,7191.0,0.3,0.43333333333333335,-0.13333333333333336
real,D7MS,8744.0,0.4666666666666667,0.23333333333333334,0.23333333333333334
random,D9MS,3385.0,1.0,0.26666666666666666,0.7333333333333334
random,D2MS,6396.0,0.8,1.0,-0.19999999999999996
random,D7MD,2047.0,1.0,0.5333333333333333,0.4666666666666667
random,D1MS,189.0,1.0,0.8666666666666667,0.1333333333333333
random,D8MS,3152.0,1.0,0.2,0.8
random,D10MD,1585.0,0.8333333333333334,0.4666666666666667,0.3666666666666667
random,D5MD,7555.0,0.7666666666666667,0.13333333333333333,0.6333333333333334
random,D3MD,3843.0,1.0,1.0,0.0
random,D9MS,161.0,1.0,0.36666666666666664,0.6333333333333333
random,D6MD,206.0,1.0,0.7,0.30000000000000004
random,D4MD,7408.0,0.7333333333333333,0.3333333333333333,0.39999999999999997
random,D11MD,2693.0,0.6666666666666666,0.5666666666666667,0.09999999999999998
random,D4MD,7392.0,0.2,0.8666666666666667,-0.6666666666666667
random,D6MS,5864.0,1.0,1.0,0.0
random,D1MD,5855.0,0.03333333333333333,1.0,-0.9666666666666667
random,D9MD,6528.0,1.0,0.1,0.9
random,D5MS,5249.0,0.2,0.4666666666666667,-0.26666666666666666
random,D11MD,197.0,1.0,1.0,0.0
random,D1MS,6287.0,0.06666666666666667,1.0,-0.9333333333333333
random,D6MD,2976.0,1.0,0.2,0.8
random,D5MD,5759.0,1.0,0.43333333333333335,0.5666666666666667
random,D5MD,4736.0,0.3333333333333333,1.0,-0.6666666666666667
random,D2MS,1648.0,0.6666666666666666,0.4666666666666667,0.19999999999999996
random,D4MS,2869.0,0.9666666666666667,0.0,0.9666666666666667
random,D8MD,956.0,0.3333333333333333,0.9333333333333333,-0.6000000000000001
random,D6MS,6015.0,1.0,0.3,0.7
random,D1MS,7683.0,1.0,0.8666666666666667,0.1333333333333333
random,D9MD,190.0,1.0,0.5,0.5
random,D2MS,569.0,0.5,0.16666666666666666,0.33333333333333337
random,D11MD,7806.0,1.0,0.16666666666666666,0.8333333333333334
random,D6MD,7343.0,1.0,0.0,1.0
random,D5MD,6655.0,1.0,1.0,0.0
random,D3MD,3854.0,1.0,1.0,0.0
random,D9MS,4.0,0.1,0.6,-0.5
random,D4MD,5315.0,0.03333333333333333,1.0,-0.9666666666666667
random,D5MS,5177.0,1.0,0.6333333333333333,0.3666666666666667
random,D1MD,8308.0,1.0,1.0,0.0
random,D2MS,559.0,0.16666666666666666,0.5,-0.33333333333333337
random,D1MD,5881.0,0.9,0.36666666666666664,0.5333333333333334
random,D7MD,6905.0,1.0,0.9333333333333333,0.06666666666666665
random,D11MD,6303.0,1.0,1.0,0.0
random,D5MS,5732.0,1.0,1.0,0.0
random,D9MS,8002.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
random,D8MS,2082.0,0.3,0.6,-0.3
random,D10MD,728.0,0.3333333333333333,1.0,-0.6666666666666667
random,D6MD,2967.0,1.0,0.5,0.5
random,D2MS,4492.0,1.0,0.5666666666666667,0.43333333333333335
random,D6MD,8082.0,0.4666666666666667,1.0,-0.5333333333333333
random,D9MS,4360.0,1.0,0.4666666666666667,0.5333333333333333
random,D6MS,4946.0,0.6333333333333333,1.0,-0.3666666666666667
random,D1MS,1062.0,1.0,1.0,0.0
random,D7MD,5305.0,1.0,1.0,0.0
random,D1MD,7330.0,0.8,0.4666666666666667,0.33333333333333337
random,D11MD,1540.0,1.0,1.0,0.0
random,D1MD,5541.0,0.5666666666666667,1.0,-0.43333333333333335
random,D5MS,1365.0,0.9,0.3333333333333333,0.5666666666666667
random,D5MS,6588.0,0.5666666666666667,0.4,0.16666666666666663
random,D9MS,5301.0,0.8333333333333334,1.0,-0.16666666666666663
random,D5MS,4268.0,0.03333333333333333,1.0,-0.9666666666666667
random,D6MD,3376.0,0.5333333333333333,0.5666666666666667,-0.033333333333333326
random,D1MS,5063.0,0.36666666666666664,1.0,-0.6333333333333333
random,D3MD,7575.0,1.0,0.36666666666666664,0.6333333333333333
random,D5MD,2745.0,0.5333333333333333,1.0,-0.4666666666666667
random,D1MD,4835.0,0.6666666666666666,1.0,-0.33333333333333337
random,D11MS,1581.0,1.0,0.0,1.0
random,D3MD,5713.0,0.7666666666666667,0.6333333333333333,0.13333333333333341
random,D5MS,255.0,0.8,0.36666666666666664,0.4333333333333334
random,D11MD,9.0,0.26666666666666666,1.0,-0.7333333333333334
random,D4MS,7418.0,1.0,0.0,1.0
random,D1MS,2000.0,0.7333333333333333,0.03333333333333333,0.7
random,D1MD,5989.0,0.8333333333333334,1.0,-0.16666666666666663
random,D1MD,3636.0,1.0,0.5333333333333333,0.4666666666666667
random,D5MD,249.0,1.0,1.0,0.0
random,D11MD,770.0,0.3333333333333333,0.9,-0.5666666666666667
random,D9MS,8580.0,0.9333333333333333,0.7,0.2333333333333334
random,D4MS,6941.0,0.7666666666666667,0.23333333333333334,0.5333333333333334
random,D10MD,137.0,1.0,0.26666666666666666,0.7333333333333334
random,D8MD,1646.0,0.26666666666666666,0.16666666666666666,0.1
random,D1MD,1062.0,1.0,1.0,0.0
random,D5MD,6891.0,0.13333333333333333,1.0,-0.8666666666666667
random,D11MD,876.0,1.0,1.0,0.0
random,D3MD,3812.0,1.0,1.0,0.0
random,D6MD,8434.0,0.06666666666666667,0.6,-0.5333333333333333
random,D6MS,8195.0,1.0,0.4,0.6
random,D11MD,846.0,0.6333333333333333,1.0,-0.3666666666666667
random,D9MS,6469.0,0.8,0.8,0.0
random,D6MS,4208.0,0.23333333333333334,0.5666666666666667,-0.3333333333333333
random,D9MS,2048.0,0.6666666666666666,1.0,-0.33333333333333337
random,D1MD,6038.0,1.0,1.0,0.0
random,D7MD,2219.0,0.2,0.3333333333333333,-0.1333333333333333
random,D11MD,2060.0,1.0,1.0,0.0
random,D5MD,1619.0,0.6,0.5,0.09999999999999998
random,D1MD,2832.0,0.13333333333333333,1.0,-0.8666666666666667
random,D4MS,6943.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
random,D3MD,5984.0,0.23333333333333334,0.43333333333333335,-0.2
random,D5MD,4018.0,0.8,0.5333333333333333,0.2666666666666667
random,D3MD,5765.0,0.7333333333333333,0.03333333333333333,0.7
random,D5MD,5567.0,0.9,1.0,-0.09999999999999998
random,D1MD,950.0,0.6333333333333333,1.0,-0.3666666666666667
random,D10MD,2645.0,0.7333333333333333,0.0,0.7333333333333333
random,D5MD,2371.0,0.9333333333333333,1.0,-0.06666666666666665
random,D11MD,94.0,1.0,0.7666666666666667,0.23333333333333328
random,D5MS,6898.0,0.3333333333333333,1.0,-0.6666666666666667
random,D10MD,793.0,0.9666666666666667,0.0,0.9666666666666667
random,D5MD,827.0,1.0,0.6,0.4
random,D5MS,7196.0,0.5666666666666667,0.6,-0.033333333333333326
random,D8MS,5732.0,0.5,0.23333333333333334,0.26666666666666666
random,D5MS,5031.0,1.0,0.4,0.6
random,D6MS,536.0,1.0,0.8666666666666667,0.1333333333333333
random,D11MD,6490.0,1.0,0.8333333333333334,0.16666666666666663
random,D5MD,6704.0,1.0,0.5666666666666667,0.43333333333333335
random,D4MD,1759.0,0.7,0.8333333333333334,-0.13333333333333341
random,D4MS,768.0,0.4666666666666667,0.5,-0.033333333333333326
random,D5MD,8038.0,1.0,1.0,0.0
random,D7MD,6305.0,1.0,0.36666666666666664,0.6333333333333333
random,D9MD,54.0,1.0,0.2,0.8
random,D4MS,3462.0,0.1,1.0,-0.9
random,D5MD,832.0,1.0,0.43333333333333335,0.5666666666666667
random,D5MS,7776.0,1.0,0.6666666666666666,0.33333333333333337
random,D1MS,3452.0,0.8666666666666667,0.2,0.6666666666666667
random,D9MS,1555.0,0.6666666666666666,0.16666666666666666,0.5
random,D6MD,7083.0,0.8666666666666667,0.6666666666666666,0.20000000000000007
random,D11MD,8428.0,0.8,0.26666666666666666,0.5333333333333334
random,D10MD,6809.0,0.5,0.43333333333333335,0.06666666666666665
random,D11MS,74.0,0.4,0.7666666666666667,-0.3666666666666667
random,D3MD,4263.0,0.03333333333333333,0.7333333333333333,-0.7
random,D7MS,5490.0,1.0,0.5,0.5
random,D5MD,7679.0,0.6333333333333333,0.6333333333333333,0.0
random,D11MD,153.0,1.0,1.0,0.0
random,D11MD,1524.0,1.0,1.0,0.0
random,D3MS,329.0,0.5333333333333333,0.36666666666666664,0.16666666666666669
random,D1MS,8407.0,0.6333333333333333,1.0,-0.3666666666666667
random,D1MD,2421.0,0.6333333333333333,1.0,-0.3666666666666667
random,D7MD,614.0,1.0,0.3,0.7
random,D8MD,2667.0,0.6666666666666666,0.6666666666666666,0.0
random,D11MS,130.0,0.9666666666666667,1.0,-0.033333333333333326
