group,trial_id,timepoint,before,after,difference
real,D2MS,3320.0,1.0,1.0,0.0
real,D4MS,1875.0,1.0,1.0,0.0
real,D4MS,6029.0,1.0,1.0,0.0
real,D6MS,4817.0,1.0,0.1,0.9
real,D10MS,8326.0,1.0,1.0,0.0
real,D10MD,8786.0,0.2,0.0,0.2
real,D4MD,1838.0,0.3,0.8666666666666667,-0.5666666666666667
real,D4MD,8671.0,1.0,0.8,0.19999999999999996
real,D6MD,4853.0,0.6666666666666666,1.0,-0.33333333333333337
real,D2MD,5513.0,1.0,0.5666666666666667,0.43333333333333335
real,D2MD,6312.0,1.0,1.0,0.0
real,D2MD,6690.0,1.0,1.0,0.0
real,D11MS,3401.0,0.1,1.0,-0.9
real,D10MS,5425.0,1.0,0.8333333333333334,0.16666666666666663
real,D10MS,6456.0,1.0,0.8333333333333334,0.16666666666666663
real,D10MS,7065.0,1.0,1.0,0.0
real,D10MS,7730.0,0.16666666666666666,0.8666666666666667,-0.7000000000000001
real,D3MS,6905.0,1.0,0.9,0.09999999999999998
real,D4MS,390.0,0.8333333333333334,0.0,0.8333333333333334
real,D6MS,5585.0,1.0,0.23333333333333334,0.7666666666666666
real,D6MS,6593.0,1.0,1.0,0.0
real,D7MS,4988.0,1.0,0.0,1.0
real,D2MS,1030.0,0.9666666666666667,0.0,0.9666666666666667
real,D2MS,2083.0,1.0,1.0,0.0
real,D2MS,8557.0,1.0,0.2,0.8
random,D10MD,8322.0,1.0,0.1,0.9
random,D10MS,6396.0,0.7666666666666667,1.0,-0.23333333333333328
random,D4MD,6873.0,1.0,1.0,0.0
random,D11MD,206.0,1.0,1.0,0.0
random,D4MS,5977.0,1.0,1.0,0.0
random,D3MS,6892.0,1.0,1.0,0.0
random,D4MS,3242.0,1.0,0.43333333333333335,0.5666666666666667
random,D3MS,7392.0,1.0,1.0,0.0
random,D1MD,4413.0,0.5,0.1,0.4
random,D10MS,1930.0,0.3333333333333333,1.0,-0.6666666666666667
random,D10MS,7158.0,1.0,1.0,0.0
random,D11MS,8445.0,1.0,1.0,0.0
random,D11MS,2557.0,1.0,1.0,0.0
random,D6MS,4735.0,1.0,1.0,0.0
random,D2MD,4555.0,0.4666666666666667,1.0,-0.5333333333333333
random,D10MS,6893.0,1.0,1.0,0.0
random,D2MD,7022.0,1.0,1.0,0.0
random,D2MD,7996.0,1.0,1.0,0.0
random,D10MS,6457.0,1.0,1.0,0.0
random,D10MS,7004.0,0.03333333333333333,1.0,-0.9666666666666667
random,D10MS,7253.0,1.0,1.0,0.0
random,D8MS,5988.0,0.26666666666666666,0.0,0.26666666666666666
random,D6MD,4946.0,1.0,1.0,0.0
random,D6MS,6938.0,1.0,1.0,0.0
random,D3MD,3709.0,0.3333333333333333,0.1,0.2333333333333333
random,D2MD,5029.0,1.0,1.0,0.0
random,D11MS,2779.0,1.0,1.0,0.0
random,D4MD,1581.0,0.06666666666666667,1.0,-0.9333333333333333
random,D6MS,4719.0,1.0,1.0,0.0
random,D3MS,6881.0,1.0,1.0,0.0
random,D4MD,7043.0,1.0,0.3,0.7
random,D10MS,6493.0,1.0,0.1,0.9
random,D10MS,8717.0,1.0,1.0,0.0
random,D10MS,5342.0,1.0,1.0,0.0
random,D11MS,2560.0,1.0,1.0,0.0
random,D10MS,5951.0,1.0,1.0,0.0
random,D6MS,2136.0,1.0,1.0,0.0
random,D4MS,5742.0,1.0,1.0,0.0
random,D2MD,5373.0,0.6333333333333333,1.0,-0.3666666666666667
random,D4MS,3228.0,1.0,0.9,0.09999999999999998
random,D7MS,4971.0,1.0,0.5666666666666667,0.43333333333333335
random,D4MD,8477.0,1.0,1.0,0.0
random,D4MD,6016.0,0.23333333333333334,0.4,-0.16666666666666669
random,D9MD,7970.0,0.16666666666666666,0.03333333333333333,0.13333333333333333
random,D2MS,822.0,1.0,0.8333333333333334,0.16666666666666663
